Title,Year,Rating,TotalVotes,Genre1,Genre2,Genre3,MetaCritic,Runtime,Budget,CVotes01,CVotes02,CVotes03,CVotes04,CVotes05,CVotes06,CVotes07,CVotes08,CVotes09,CVotes1000,CVotes1829,CVotes1829F,CVotes1829M,CVotes3044,CVotes3044F,CVotes3044M,CVotes45A,CVotes45AF,CVotes45AM,CVotesFemale,CVotesMale,CVotesU18,CVotesU18F,CVotesU18M,CVotesUS,CVotesnUS,Votes1000,Votes1829,Votes1829F,Votes1829M,Votes3044,Votes3044F,Votes3044M,Votes45A,Votes45AF,Votes45AM,VotesF,VotesIMDB,VotesM,VotesU18,VotesU18F,VotesU18M,VotesUS,VotesnUS,CVotes10
12 Years a Slave,2013,8.1,"496,092",Biography,Drama,History,96,134 min,"$20,000,000 ",4739,1785,2420,4021,9603,27231,83070,161460,126223,664,200910,45301,153669,138762,23895,112943,29252,5726,23072,82012,313823,1837,457,1363,53328,224519,7.7,8.2,8.2,8.2,8,8,7.9,7.8,8.1,7.8,8.1,8,8.1,8.4,8.5,8.4,8.3,8,75556
127 Hours,2010,7.6,"297,075",Adventure,Biography,Drama,82,94 min,"$18,000,000 ",2059,1161,1930,3796,9403,28394,78451,98845,44110,649,133336,26152,106007,102120,14304,86609,14895,2261,12400,44600,212866,745,170,567,38478,169745,7,7.7,7.7,7.8,7.5,7.5,7.5,7.3,7.5,7.3,7.6,7.6,7.6,7.9,7.9,7.9,7.7,7.6,28939
50/50,2011,7.7,"283,935",Comedy,Drama,Romance,72,100 min,"$8,000,000 ",1202,634,1109,2381,7545,24252,71485,99524,47501,555,132350,34765,96269,94745,18163,75394,12829,2681,9912,58348,188925,506,153,348,46947,147849,7,7.8,7.7,7.8,7.6,7.6,7.6,7.4,7.5,7.4,7.7,7.4,7.7,7.9,7.9,7.9,7.9,7.6,28304
About Time,2013,7.8,"225,412",Comedy,Drama,Fantasy,,123 min,"$12,000,000 ",1182,664,1084,2210,5673,16542,45487,70850,43170,475,92940,34126,57778,67477,16222,50212,13973,3026,10690,58098,126718,654,321,325,20450,111670,6.9,8,8,8,7.6,7.7,7.6,7.6,7.8,7.5,7.9,7.7,7.8,8.2,8.3,8.1,7.8,7.7,38556
Amour,2012,7.9,"76,121",Drama,Romance,,94,127 min,"$8,900,000 ",995,534,710,1188,2585,5945,14187,22942,15944,391,28593,8167,20107,28691,6269,21990,7425,1490,5803,16719,49808,121,24,95,7959,46138,7.2,8,7.9,8,7.7,7.9,7.7,7.9,8.1,7.8,7.9,6.6,7.8,8.6,8.5,8.7,7.9,7.8,11093
Argo,2012,7.7,"486,840",Action,Biography,Drama,86,120 min,"$44,500,000 ",6941,2020,2910,4992,12630,37332,115165,171495,89490,740,178794,30643,146371,163795,24948,136391,36215,6752,28817,67910,334838,971,162,795,70110,229137,7.2,7.8,7.9,7.8,7.7,7.8,7.6,7.7,8,7.7,7.9,8.1,7.7,8,7.8,8,8,7.6,43875
Arrival,2016,8,"370,842",Drama,Mystery,Sci-Fi,81,116 min,"$47,000,000 ",4734,2194,3083,5057,10556,26913,65440,109536,87850,537,126301,23163,101741,111985,15227,95005,24027,3440,20118,46272,237437,1943,376,1544,42062,163774,7.3,8.2,8.1,8.2,7.8,7.8,7.8,7.6,7.7,7.6,8,8.3,7.9,8.6,8.4,8.6,8,7.9,55533
Beasts of No Nation,2015,7.8,"51,781",Drama,War,,79,137 min,"$6,000,000 ",337,95,137,325,948,3380,12164,19639,9364,224,20628,2205,18200,15846,1500,14120,3009,409,2541,4422,37373,210,19,188,7004,24596,7.2,7.9,7.9,7.9,7.6,7.7,7.6,7.6,7.7,7.6,7.8,8.2,7.8,8.2,8,8.2,7.9,7.7,5396
Before Midnight,2013,7.9,"106,553",Drama,Romance,,94,109 min,"$3,000,000 ",1745,826,1033,1649,3412,8142,19251,31439,22109,447,43312,12857,30016,37072,8189,28401,7479,1470,5891,23823,67076,208,66,138,12382,59116,7,8.1,7.9,8.2,7.8,7.6,7.8,7.3,7.2,7.4,7.8,8.5,7.9,8.1,7.4,8.3,8,7.9,16953
Big Hero 6,2014,7.8,"315,485",Animation,Action,Adventure,74,,"Opening Weekend:         56,215,889              (USA)      (7 November 2014)",1439,539,1036,2251,6830,22389,65681,103726,61304,525,128237,35122,91744,84098,14796,68040,13974,2400,11304,58731,187383,2446,855,1571,36702,131818,7.2,7.9,8.3,7.8,7.7,8,7.6,7.6,7.9,7.6,8.2,7.9,7.7,8.2,8.7,8,7.9,7.7,50311
Birdman or ( The Unexpected Virtue of Ignorance),2014,7.8,"448,725",Comedy,Drama,,88,119 min,"$18,000,000 ",11807,5378,6750,10116,19161,38373,80828,121637,94476,656,178850,34666,142244,129547,19457,108049,26016,4329,21166,63310,292808,1891,334,1538,52288,203731,7.1,8,7.7,8.1,7.6,7.3,7.6,7.2,7,7.3,7.5,7.8,7.8,8.5,7.9,8.6,7.9,7.7,60209
Black Swan,2010,8,"587,893",Drama,Thriller,,79,108 min,"$13,000,000 ",8726,3981,6065,9084,16993,40319,97826,174500,136615,802,244970,82856,159567,204465,45352,156163,35111,7459,27022,143077,356707,1112,516,583,86552,306578,7.6,8.1,8.1,8.1,7.9,8,7.9,7.5,7.4,7.5,8,7.9,8,8.5,8.4,8.6,8,8,93798
Boyhood,2014,7.9,"290,327",Drama,,,100,165 min,"$4,000,000 ",5086,2248,3071,4906,10431,23789,52238,76838,62055,559,123006,29076,92639,81594,15118,65261,17881,3567,13995,51558,183807,1393,381,995,36433,134679,7.2,8.1,7.8,8.1,7.8,7.6,7.8,7.7,7.7,7.7,7.7,8.2,8,8.1,8,8.1,8,7.9,49673
